127.0.0.1, 2013-09-10 23:10:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2013-09-10 23:10:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2013-09-10 23:10:08, POST, /admin/default/index, HTTP/1.1, 303, 0.047427
127.0.0.1, 2013-09-10 23:10:08, GET, /admin/default/site, HTTP/1.1, 200, 0.046305
127.0.0.1, 2013-09-10 23:10:08, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.003903
127.0.0.1, 2013-09-10 23:10:08, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000986
127.0.0.1, 2013-09-10 23:10:10, POST, /admin/default/check_version, HTTP/1.1, 200, 1.375402
127.0.0.1, 2013-09-10 23:10:10, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.214205
127.0.0.1, 2013-09-10 23:10:10, GET, /NOUVELLES_EN_LIGNE/static/css/calendar.css, HTTP/1.1, 200, 0.084909
127.0.0.1, 2013-09-10 23:10:10, GET, /NOUVELLES_EN_LIGNE/static/css/web2py.css, HTTP/1.1, 200, 0.084096
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000395
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/calendar.js, HTTP/1.1, 200, 0.386270
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/web2py.js, HTTP/1.1, 200, 0.385376
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000543
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.388150
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/jquery.js, HTTP/1.1, 200, 0.386339
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000258
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000270
